"concept_id_1","concept_id_2","relationship_id","valid_start_date","valid_end_date","invalid_reason"
197033,197033,"Maps to","1970-01-01","2099-12-31",
197033,197033,"Mapped from","1970-01-01","2099-12-31",
197033,4222798,"Subsumes","2011-07-31","2099-12-31",
197033,4182703,"Subsumes","2011-07-31","2099-12-31",
197033,4132140,"Is a","2011-07-31","2099-12-31",
197033,37119080,"Subsumes","2018-01-31","2099-12-31",
197033,37110261,"Subsumes","2018-01-31","2099-12-31",
197033,4272614,"Subsumes","2011-07-31","2099-12-31",
197033,4195507,"Subsumes","2011-07-31","2099-12-31",
35209395,1571565,"Is a","2016-03-25","2099-12-31",
35209395,197033,"Maps to","1970-01-01","2099-12-31",
36717630,36717630,"Maps to","2017-01-31","2099-12-31",
36717630,36717630,"Mapped from","2017-01-31","2099-12-31",
36717630,4034016,"Is a","2017-01-31","2099-12-31",
36717630,194421,"Is a","2017-01-31","2099-12-31",
35209393,199881,"Maps to","1970-01-01","2099-12-31",
35209393,1571565,"Is a","2016-03-25","2099-12-31",
2109445,2109445,"Maps to","2008-04-01","2099-12-31",
2109445,2109445,"Mapped from","2008-04-01","2099-12-31",
8546,8546,"Maps to","1970-01-01","2099-12-31",
8546,8546,"Mapped from","1970-01-01","2099-12-31",
4230333,4230333,"Maps to","1970-01-01","2099-12-31",
4230333,4230333,"Mapped from","1970-01-01","2099-12-31",
4230333,433527,"Is a","2011-07-31","2099-12-31",
4146995,4146995,"Maps to","1970-01-01","2099-12-31",
4146995,4146995,"Mapped from","1970-01-01","2099-12-31",
4146995,139882,"Subsumes","2011-07-31","2099-12-31",
4146995,4034016,"Is a","2011-07-31","2099-12-31",
4211992,4200841,"Subsumes","2018-01-31","2099-12-31",
4211992,4132140,"Is a","2011-07-31","2099-12-31",
4211992,35209396,"Mapped from","2019-01-09","2099-12-31",
4211992,4211992,"Maps to","1970-01-01","2099-12-31",
4211992,4211992,"Mapped from","1970-01-01","2099-12-31",
35209396,1571565,"Is a","2016-03-25","2099-12-31",
35209396,4211992,"Maps to","2019-01-09","2099-12-31",
581458,581458,"Maps to","1970-01-01","2099-12-31",
581458,581458,"Mapped from","1970-01-01","2099-12-31",
4317964,4317964,"Maps to","1970-01-01","2099-12-31",
4317964,4317964,"Mapped from","1970-01-01","2099-12-31",
4317964,4132140,"Is a","2011-07-31","2099-12-31",
4317964,194421,"Is a","2011-07-31","2099-12-31",
4003678,4003678,"Maps to","1970-01-01","2099-12-31",
4003678,4003678,"Mapped from","1970-01-01","2099-12-31",
4003678,433527,"Is a","2017-01-31","2099-12-31",
4189364,4189364,"Maps to","1970-01-01","2099-12-31",
4189364,4189364,"Mapped from","1970-01-01","2099-12-31",
4189364,200461,"Is a","2011-07-31","2099-12-31",
8977,8977,"Maps to","1970-01-01","2099-12-31",
8977,9202,"Is a","2019-02-01","2099-12-31",
8977,8977,"Mapped from","1970-01-01","2099-12-31",
38003620,38003620,"Maps to","1970-01-01","2099-12-31",
38003620,38003620,"Mapped from","1970-01-01","2099-12-31",
38003620,9202,"Is a","2019-02-01","2099-12-31",
8913,8913,"Maps to","1970-01-01","2099-12-31",
8913,8913,"Mapped from","1970-01-01","2099-12-31",
8913,8717,"Is a","2019-02-01","2099-12-31",
4272614,4272614,"Maps to","1970-01-01","2099-12-31",
4272614,4272614,"Mapped from","1970-01-01","2099-12-31",
4272614,197033,"Is a","2011-07-31","2099-12-31",
8850,8850,"Maps to","1970-01-01","2099-12-31",
8850,8850,"Mapped from","1970-01-01","2099-12-31",
35209400,1571565,"Is a","2016-03-25","2099-12-31",
35209400,433527,"Maps to","1970-01-01","2099-12-31",
433527,4288543,"Subsumes","2011-07-31","2099-12-31",
433527,4132140,"Subsumes","2011-07-31","2099-12-31",
433527,35209400,"Mapped from","1970-01-01","2099-12-31",
433527,4230333,"Subsumes","2011-07-31","2099-12-31",
433527,44823204,"Mapped from","1970-01-01","2099-12-31",
433527,194421,"Subsumes","2011-07-31","2099-12-31",
433527,4307585,"Subsumes","2011-07-31","2099-12-31",
433527,4264439,"Subsumes","2011-07-31","2099-12-31",
433527,37110262,"Subsumes","2017-07-31","2099-12-31",
433527,4187787,"Subsumes","2011-07-31","2099-12-31",
433527,35209399,"Mapped from","1970-01-01","2099-12-31",
433527,4034016,"Subsumes","2011-07-31","2099-12-31",
433527,4003678,"Subsumes","2017-01-31","2099-12-31",
433527,1571565,"Mapped from","1970-01-01","2099-12-31",
433527,433527,"Maps to","1970-01-01","2099-12-31",
433527,433527,"Mapped from","1970-01-01","2099-12-31",
8809,8809,"Maps to","1970-01-01","2099-12-31",
8809,8809,"Mapped from","1970-01-01","2099-12-31",
4222798,4222798,"Maps to","1970-01-01","2099-12-31",
4222798,4222798,"Mapped from","1970-01-01","2099-12-31",
4222798,197033,"Is a","2011-07-31","2099-12-31",
44837205,200461,"Maps to","1970-01-01","2099-12-31",
4019817,4019817,"Maps to","1970-01-01","2099-12-31",
4019817,4019817,"Mapped from","1970-01-01","2099-12-31",
4019817,197033,"Is a","2011-07-31","2099-12-31",
35209397,194421,"Maps to","1970-01-01","2099-12-31",
35209397,1571565,"Is a","2016-03-25","2099-12-31",
8870,8870,"Maps to","1970-01-01","2099-12-31",
8870,8870,"Mapped from","1970-01-01","2099-12-31",
4264439,4264439,"Maps to","1970-01-01","2099-12-31",
4264439,4264439,"Mapped from","1970-01-01","2099-12-31",
4264439,433527,"Is a","2011-07-31","2099-12-31",
4182703,197033,"Is a","2011-07-31","2099-12-31",
4182703,4182703,"Maps to","1970-01-01","2099-12-31",
4182703,4182703,"Mapped from","1970-01-01","2099-12-31",
4307585,4307585,"Maps to","1970-01-01","2099-12-31",
4307585,4307585,"Mapped from","1970-01-01","2099-12-31",
4307585,433527,"Is a","2011-07-31","2099-12-31",
35209399,1571565,"Is a","2016-03-25","2099-12-31",
35209399,433527,"Maps to","1970-01-01","2099-12-31",
37209188,37209399,"Is a","2019-07-31","2099-12-31",
37209188,37209188,"Maps to","2019-07-31","2099-12-31",
37209188,37209400,"Is a","2019-07-31","2099-12-31",
37209188,37209188,"Mapped from","2019-07-31","2099-12-31",
8668,8668,"Maps to","1970-01-01","2099-12-31",
8668,8668,"Mapped from","1970-01-01","2099-12-31",
35209392,1571565,"Is a","2016-03-25","2099-12-31",
35209392,200461,"Maps to","1970-01-01","2099-12-31",
2109444,2109444,"Maps to","2008-04-01","2099-12-31",
2109444,2109444,"Mapped from","2008-04-01","2099-12-31",
35209394,1571565,"Is a","2016-03-25","2099-12-31",
35209394,194420,"Maps to","1970-01-01","2099-12-31",
2109446,2109446,"Maps to","2008-04-01","2099-12-31",
2109446,2109446,"Mapped from","2008-04-01","2099-12-31",
581477,581477,"Maps to","1970-01-01","2099-12-31",
581477,581477,"Mapped from","1970-01-01","2099-12-31",
581477,9202,"Is a","1970-01-01","2099-12-31",
200461,44837205,"Mapped from","1970-01-01","2099-12-31",
200461,4058381,"Subsumes","2011-07-31","2099-12-31",
200461,4189364,"Subsumes","2011-07-31","2099-12-31",
200461,4127413,"Subsumes","2011-07-31","2099-12-31",
200461,200461,"Maps to","1970-01-01","2099-12-31",
200461,200461,"Mapped from","1970-01-01","2099-12-31",
200461,35209392,"Mapped from","1970-01-01","2099-12-31",
200461,4132140,"Is a","2011-07-31","2099-12-31",
4288543,4288543,"Maps to","1970-01-01","2099-12-31",
4288543,4288543,"Mapped from","1970-01-01","2099-12-31",
4288543,433527,"Is a","2011-07-31","2099-12-31",
581380,581380,"Maps to","1970-01-01","2099-12-31",
581380,581380,"Mapped from","1970-01-01","2099-12-31",
581380,9202,"Is a","1970-01-01","2099-12-31",
194420,4132140,"Is a","2011-07-31","2099-12-31",
194420,35209394,"Mapped from","1970-01-01","2099-12-31",
194420,194420,"Maps to","1970-01-01","2099-12-31",
194420,194420,"Mapped from","1970-01-01","2099-12-31",
4072148,4072148,"Maps to","1970-01-01","2099-12-31",
4072148,4072148,"Mapped from","1970-01-01","2099-12-31",
4072148,4034016,"Is a","2011-07-31","2099-12-31",
8761,8761,"Maps to","1970-01-01","2099-12-31",
8761,9202,"Is a","2019-02-01","2099-12-31",
8761,8761,"Mapped from","1970-01-01","2099-12-31",
4276944,4276944,"Maps to","1970-01-01","2099-12-31",
4276944,4276944,"Mapped from","1970-01-01","2099-12-31",
4276944,4132140,"Is a","2011-07-31","2099-12-31",
139882,139882,"Maps to","1970-01-01","2099-12-31",
139882,139882,"Mapped from","1970-01-01","2099-12-31",
139882,35209398,"Mapped from","1970-01-01","2099-12-31",
139882,4146995,"Is a","2011-07-31","2099-12-31",
4034015,4034015,"Maps to","1970-01-01","2099-12-31",
4034015,4034015,"Mapped from","1970-01-01","2099-12-31",
4034015,199881,"Is a","2011-07-31","2099-12-31",
8756,8756,"Maps to","1970-01-01","2099-12-31",
8756,8756,"Mapped from","1970-01-01","2099-12-31",
8756,581385,"Subsumes","2019-02-01","2099-12-31",
8756,9202,"Is a","1970-01-01","2099-12-31",
37119080,197033,"Is a","2018-01-31","2099-12-31",
37119080,37119080,"Maps to","2017-07-31","2099-12-31",
37119080,37119080,"Mapped from","2017-07-31","2099-12-31",
8717,8913,"Subsumes","2019-02-01","2099-12-31",
8717,8717,"Maps to","1970-01-01","2099-12-31",
8717,8717,"Mapped from","1970-01-01","2099-12-31",
8717,9201,"Is a","1970-01-01","2099-12-31",
581385,581385,"Maps to","1970-01-01","2099-12-31",
581385,581385,"Mapped from","1970-01-01","2099-12-31",
581385,8756,"Is a","2019-02-01","2099-12-31",
5083,5083,"Maps to","2016-01-01","2099-12-31",
5083,5083,"Mapped from","2016-01-01","2099-12-31",
37110262,37110262,"Maps to","2017-07-31","2099-12-31",
37110262,37110262,"Mapped from","2017-07-31","2099-12-31",
37110262,433527,"Is a","2017-07-31","2099-12-31",
4224161,194421,"Is a","2011-07-31","2099-12-31",
4224161,4224161,"Maps to","1970-01-01","2099-12-31",
4224161,4224161,"Mapped from","1970-01-01","2099-12-31",
36713394,36713394,"Maps to","2017-01-31","2099-12-31",
36713394,36713394,"Mapped from","2017-01-31","2099-12-31",
36713394,4176409,"Subsumes","2017-01-31","2099-12-31",
36713394,4034016,"Is a","2017-01-31","2099-12-31",
8947,8947,"Maps to","1970-01-01","2099-12-31",
8947,8947,"Mapped from","1970-01-01","2099-12-31",
4260818,4260818,"Maps to","1970-01-01","2099-12-31",
4260818,4260818,"Mapped from","1970-01-01","2099-12-31",
4260818,194421,"Is a","2011-07-31","2099-12-31",
9201,9201,"Maps to","1970-01-01","2099-12-31",
9201,9201,"Mapped from","1970-01-01","2099-12-31",
9201,8971,"Subsumes","1970-01-01","2099-12-31",
9201,8717,"Subsumes","1970-01-01","2099-12-31",
4132140,4317964,"Subsumes","2011-07-31","2099-12-31",
4132140,199881,"Subsumes","2011-07-31","2099-12-31",
4132140,197033,"Subsumes","2011-07-31","2099-12-31",
4132140,4211992,"Subsumes","2011-07-31","2099-12-31",
4132140,4276944,"Subsumes","2011-07-31","2099-12-31",
4132140,194420,"Subsumes","2011-07-31","2099-12-31",
4132140,4132140,"Maps to","1970-01-01","2099-12-31",
4132140,433527,"Is a","2011-07-31","2099-12-31",
4132140,4132140,"Mapped from","1970-01-01","2099-12-31",
4132140,200461,"Subsumes","2011-07-31","2099-12-31",
8782,8782,"Maps to","1970-01-01","2099-12-31",
8782,9202,"Is a","2019-02-01","2099-12-31",
8782,8782,"Mapped from","1970-01-01","2099-12-31",
